t,indicators_hodled_lost_coins
2012-03-27,5421477.396876971
2012-03-28,5428966.184318721
2012-03-29,5435454.075297423
2012-03-30,5423963.390383315
2012-03-31,5428621.272937517
2012-04-01,5437015.416336588
2012-04-02,5443437.365724379
2012-04-03,5445427.996113204
2012-04-04,5449431.729519225
2012-04-05,5453010.020146753
2012-04-06,5456523.010068996
2012-04-07,5461693.939120533
2012-04-08,5469227.091887146
2012-04-09,5476031.5187040325
2012-04-10,5478358.427017467
2012-04-11,5482583.30637605
2012-04-12,5478807.266680184
2012-04-13,5483042.706867548
2012-04-14,5488766.896918668
2012-04-15,5492377.381098625
2012-04-16,5497722.92527028
2012-04-17,5502445.4560108455
2012-04-18,5508021.866027461
2012-04-19,5514597.575115048
2012-04-20,5521423.433628157
2012-04-21,5527826.17539806
2012-04-22,5533582.173829937
2012-04-23,5539435.8106728755
2012-04-24,5545546.44012006
2012-04-25,5549048.512596848
2012-04-26,5527403.169170553
2012-04-27,5533092.816764266
2012-04-28,5541373.375807433
2012-04-29,5551221.465797292
2012-04-30,5557664.00914366
2012-05-01,5565112.435109149
2012-05-02,5572491.021090428
2012-05-03,5580301.687651309
2012-05-04,5587895.312427152
2012-05-05,5595692.297799942
2012-05-06,5602735.57424516
2012-05-07,5604717.990953613
2012-05-08,5613877.681745734
2012-05-09,5620461.949334872
2012-05-10,5625542.094513563
2012-05-11,5630789.650163198
2012-05-12,5634428.4108110275
2012-05-13,5615408.246184762
2012-05-14,5617135.073482618
2012-05-15,5617340.88366947
2012-05-16,5621311.742172167
2012-05-17,5623114.536214684
2012-05-18,5625927.258759015
2012-05-19,5629816.980909557
2012-05-20,5634416.322724362
2012-05-21,5637451.961032763
2012-05-22,5637914.4997628415
2012-05-23,5640080.0475552725
2012-05-24,5645926.029096766
2012-05-25,5649206.2097191
2012-05-26,5655036.240940245
2012-05-27,5661065.209483201
2012-05-28,5667853.980117641
2012-05-29,5673859.739673688
2012-05-30,5679675.063252412
2012-05-31,5683437.153960783
2012-06-01,5673862.93984143
2012-06-02,5682069.291782898
2012-06-03,5689459.728508618
2012-06-04,5693949.097248266
2012-06-05,5699156.879404146
2012-06-06,5705263.904244068
2012-06-07,5711207.232370926
2012-06-08,5717963.17728655
2012-06-09,5726527.703940551
2012-06-10,5736376.328309451
2012-06-11,5743916.552086451
2012-06-12,5749850.977076334
2012-06-13,5755489.2133694505
2012-06-14,5762671.25911623
2012-06-15,5770647.748170173
2012-06-16,5777329.941638132
2012-06-17,5785707.576954501
2012-06-18,5792416.236513865
2012-06-19,5799577.106425699
2012-06-20,5803268.942433217
2012-06-21,5804344.867077293
2012-06-22,5809579.061083836
2012-06-23,5817800.8448959915
2012-06-24,5817615.285422763
2012-06-25,5823575.466380436
2012-06-26,5829214.0608446365
2012-06-27,5836595.707553487
2012-06-28,5843009.871275796
2012-06-29,5850345.879890057
2012-06-30,5857060.678274224
2012-07-01,5864280.959180819
2012-07-02,5872335.512612885
2012-07-03,5879089.615946543
2012-07-04,5885808.61228028
2012-07-05,5891670.871436262
2012-07-06,5899005.132268676
2012-07-07,5904979.50543919
2012-07-08,5907760.255810298
2012-07-09,5914851.521813059
2012-07-10,5918004.511150427
2012-07-11,5893932.699313412
2012-07-12,5900641.840100337
2012-07-13,5907833.862683139
2012-07-14,5893288.985725709
2012-07-15,5899223.185980987
2012-07-16,5905015.5394223025
2012-07-17,5894389.151668247
2012-07-18,5894635.719773078
2012-07-19,5898970.564751225
2012-07-20,5903252.194595834
2012-07-21,5907419.302086366
2012-07-22,5913665.9450837355
2012-07-23,5919799.770393357
2012-07-24,5926488.202330495
2012-07-25,5934028.412677187
2012-07-26,5940385.75880779
2012-07-27,5948197.834334458
2012-07-28,5955518.838920293
2012-07-29,5963074.670901227
2012-07-30,5970517.435282126
2012-07-31,5974077.881642753
2012-08-01,5979203.908943574
2012-08-02,5985056.7764386665
2012-08-03,5988359.543044999
